State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Latitude,Longitude
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-001,"IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST.","IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST. ADO 'A'  IDOFIN ADO EKITI EKITI",199,715,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677423051.pdf,7.6124134,5.2289467
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-002,"A. U. D. PRY. SCH. / IRO ST. , ODE ONA","A. U. D. PRY. SCH. / IRO ST. , ODE ONA ADO 'A'  IDOFIN ADO EKITI EKITI",133,373,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677420401.pdf,7.6098192,5.2292777
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-003,A. U. D. PRY. SCH. / ODO IMOBUN,A. U. D. PRY. SCH. / ODO IMOBUN ADO 'A'  IDOFIN ADO EKITI EKITI,132,524,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20322/pu/36698/36698-1677477598.pdf,7.6105516,5.2257586
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-005,IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP.,IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,229,893,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,161,19,39,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677416986.pdf,7.6162348,5.2292269
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-007,"ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW","ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW ADO 'A'  IDOFIN ADO EKITI EKITI",193,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,131,14,40,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/007/007-1677410287.pdf,7.6160901,5.2280129
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-008,IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP.,IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,219,987,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,153,11,50,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/008/008-1677414059.pdf,7.6098192,5.2292777
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-009,IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP.,IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,171,544,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,102,11,49,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/009/009-1677425360.pdf,7.6098192,5.2292777
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-010,IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP.,IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,193,829,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,133,19,27,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/010/010-1677423287.pdf,7.6098192,5.2292777
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-011,IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP.,IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,139,543,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,85,6,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/011/011-1677417062.pdf,7.6098192,5.2292777
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-001,"IN FRONT OF OISA FAMILY'S HOUSE / OISA , OKE INISA COMP.","IN FRONT OF OISA FAMILY'S HOUSE / OISA , OKE INISA COMP. ADO 'B'  INISA ADO EKITI EKITI",234,666,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,159,7,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36707/36707-1677749279.pdf,7.6157744,5.2312028
