State,LGA,Ward,PU-Code,PU-Name,Address,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Longitude,Latitude
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-001,"IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST.","IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST. ADO 'A'  IDOFIN ADO EKITI EKITI",199.0,715.0,True,-1.0,False,False,False,False,UNKNOWN,0.0,0.0,0.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677423051.pdf,-0.5,38.5
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-002,"A. U. D. PRY. SCH. / IRO ST. , ODE ONA","A. U. D. PRY. SCH. / IRO ST. , ODE ONA ADO 'A'  IDOFIN ADO EKITI EKITI",133.0,373.0,True,-1.0,False,False,False,False,UNKNOWN,0.0,0.0,0.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677420401.pdf,5.22087,7.62329
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-003,A. U. D. PRY. SCH. / ODO IMOBUN,A. U. D. PRY. SCH. / ODO IMOBUN ADO 'A'  IDOFIN ADO EKITI EKITI,132.0,524.0,True,-1.0,False,False,False,False,UNKNOWN,0.0,0.0,0.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20322/pu/36698/36698-1677477598.pdf,,
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-005,IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP.,IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,229.0,893.0,True,-1.0,False,False,False,False,UNKNOWN,161.0,19.0,39.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677416986.pdf,5.22087,7.62329
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-007,"ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW","ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW ADO 'A'  IDOFIN ADO EKITI EKITI",193.0,750.0,True,-1.0,False,True,False,False,UNKNOWN,131.0,14.0,40.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/007/007-1677410287.pdf,-0.5,38.5
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-008,IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP.,IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,219.0,987.0,True,-1.0,False,True,False,False,UNKNOWN,153.0,11.0,50.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/008/008-1677414059.pdf,,
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-009,IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP.,IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,171.0,544.0,True,-1.0,False,False,False,False,UNKNOWN,102.0,11.0,49.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/009/009-1677425360.pdf,,
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-010,IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP.,IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,193.0,829.0,True,-1.0,False,False,False,False,UNKNOWN,133.0,19.0,27.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/010/010-1677423287.pdf,,
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-011,IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP.,IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP. ADO 'A'  IDOFIN ADO EKITI EKITI,139.0,543.0,True,-1.0,False,False,False,False,UNKNOWN,85.0,6.0,47.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/011/011-1677417062.pdf,-0.5,38.5
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-001,"IN FRONT OF OISA FAMILY'S HOUSE / OISA , OKE INISA COMP.","IN FRONT OF OISA FAMILY'S HOUSE / OISA , OKE INISA COMP. ADO 'B'  INISA ADO EKITI EKITI",234.0,666.0,True,-1.0,False,False,False,False,UNKNOWN,159.0,7.0,60.0,0.0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36707/36707-1677749279.pdf,5.22087,7.62329
