,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
0,1,Bitcoin,BTC,bitcoin,11793,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19775359.0,19775359.0,False,,1,,,,2024-10-30T18:52:00.000Z,71897.13468004507,44467642709.302925,-21.7137,0.13125318,-1.60102442,9.19067451,13.49856892,22.00747536,14.38582571,1421791649369.2415,58.6133,1509839828280.95,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
1,1027,Ethereum,ETH,ethereum,9468,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120406284.16331623,120406284.16331623,True,,2,,,,2024-10-30T18:52:00.000Z,2666.23442996393,22768547496.20051,-0.9883,-0.25685477,0.19997064,7.29380188,3.04562787,6.65957753,-13.64939819,321031380420.2544,13.2345,321031380420.25,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
2,825,Tether USDt,USDT,tether,101999,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120504138281.46748,122337925861.4382,True,,3,,,,2024-10-30T18:52:00.000Z,0.999657585715886,73751554469.46933,-15.8375,-0.00948964,-0.01858052,0.10294932,-0.00290688,-0.05455562,0.06211679,120462875943.22507,4.9689,122296035608.13,,2024-10-30T18:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-30 19:53:34.460232
3,1839,BNB,BNB,bnb,2273,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145930929.81203407,145930929.81203407,False,,4,,,,2024-10-30T18:52:00.000Z,599.0133518467331,1738197616.3499498,-7.5484,0.20872609,-1.47492,3.79899335,4.88321914,12.34541934,8.08649198,87414575404.81688,3.6057,87414575404.82,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
4,5426,Solana,SOL,solana,776,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470378194.5149365,587536675.2298243,True,,5,,,,2024-10-30T18:52:00.000Z,174.25911764254656,3003650409.139261,-26.3924,-0.43718977,-4.04862088,2.96805418,12.4049191,28.46531731,9.5059807,81967689134.46696,3.3755,102383622608.18,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
5,3408,USDC,USDC,usd-coin,22753,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34831970071.53516,34831970071.53516,False,,6,,,,2024-10-30T18:52:00.000Z,0.9998945586988717,8058852976.725531,-15.2264,0.00258157,-0.00388951,-0.00104838,-0.00268471,-0.02572725,0.00490549,34828297343.28995,1.4343,34828297343.29,,2024-10-30T18:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-30 19:53:34.460232
6,52,XRP,XRP,xrp,1413,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56811862950.0,99987068281.0,False,,7,,,,2024-10-30T18:52:00.000Z,0.522959289099062,975175054.8779094,-7.3686,0.02652421,-1.31605985,1.3350627,-15.71604856,-7.68215362,-8.91042484,29710291460.725338,1.2235,52295928909.91,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
7,74,Dogecoin,DOGE,dogecoin,1090,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146585706383.7053,146585706383.7053,True,,8,,,,2024-10-30T18:52:00.000Z,0.16778270691286978,2734340767.360449,-33.8413,0.56000199,-4.3894372,23.50107255,42.19518307,64.73846896,47.98481181,24594546611.79321,1.0139,24594546611.79,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
8,1958,TRON,TRX,tron,1059,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86468085484.5589,86468105006.81549,True,,9,71659659264.0,12117671062.79136,,2024-10-30T18:52:00.000Z,0.1691003165134916,394852477.85334116,0.0488,0.04258939,1.98770072,6.14134256,8.10182229,7.16104842,32.73292989,14621780623.754559,0.6021,14621783924.97,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
9,11419,Toncoin,TON,toncoin,589,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2543861752.5296736,5114176361.919842,True,,10,3414166606.0,17034942375.057865,,2024-10-30T18:52:00.000Z,4.989487725971234,215535972.1734435,12.5079,0.21806681,-2.66063939,-1.3891375,-14.58376188,-7.49739727,-25.20802269,12692566990.814478,0.5227,25517120186.25,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
